Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
124862,October Sky (The Coalwood Series #1),Homer Hickam,"Hickam, Homer",,"=""0440235502""","=""9780440235507""",0,4.18,Dell,Mass Market Paperback,428,1999,1998,,2023/09/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",0,3.94,"Little, Brown",Hardcover,864,2013,2013,,2023/09/20,to-read,to-read (#37),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2023/09/16,to-read,to-read (#36),to-read,,,,0,0
17607,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0688168442""","=""9780688168445""",4,4.07,William Morrow,Hardcover,240,1999,1999,2023/09/14,2023/09/03,,,read,"i used to tell people that we don’t tell the people we love that we love them enough. after reading this book, i want to add that the world is filled with so much love, but we just don’t know how to express it. <br/><br/>as commonly stated in the book, love is as love does. in life, if there’s one thing to carry, it’s to love deeply and love genuinely, both for others and for yourself. <3 ",,,1,0
11525016,But Will the Planet Notice?: How Smart Economics Can Save the World,Gernot Wagner,"Wagner, Gernot",,"=""0809052075""","=""9780809052073""",0,3.83,Hill and Wang,Hardcover,272,2011,2011,,2023/06/30,currently-reading,currently-reading (#2),currently-reading,,,,1,0
41753650,The Beauty of Everyday Things,Soetsu Yanagi,"Yanagi, Soetsu",Michael Brase,"=""""","=""""",0,3.55,Penguin,Kindle Edition,316,2019,2017,,2023/08/27,to-read,to-read (#35),to-read,,,,0,0
6913830,Blind Descent: The Quest to Discover the Deepest Place on Earth,James M. Tabor,"Tabor, James M.",,"=""1400067677""","=""9781400067671""",0,3.72,Random House,Hardcover,286,2010,2010,,2023/08/25,to-read,to-read (#34),to-read,,,,0,0
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Джейн Остин, Ros Ballaster, Mobile Classics, Силвия Желева","=""""","=""""",5,4.08,Penguin Books,Paperback,409,2003,1811,2023/08/23,2023/08/09,,,read,"wow. beyond lucky that this was my first jane austen novel. the portrayal of sisterhood, and their respective experiences of unrequited love, was iconic. loved that while they seemed to be complete opposites of each other in the beginning, they both hold parts of their sister, and that showed more as i continued to read. so much drama and emotion, i was in a constant state of awe. couldn’t shut up about it and will never shut up about it. ",,,1,0
54173267,Happy Hour,Marlowe Granados,"Granados, Marlowe",,"=""1989919006""","=""9781989919002""",0,3.54,Flying Books,Paperback,280,2020,2020,,2023/08/21,to-read,to-read (#33),to-read,,,,0,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",0,3.88,Norton,Paperback,464,2002,1847,,2023/08/21,to-read,to-read (#32),to-read,,,,0,0
